sequence,track,clip,asset,start_frame,end_frame,source_in_frame,source_out_frame,start_ticks,end_ticks,source_in_ticks,source_out_ticks
video,V1,62,260908.mp4,12845,13249,42686,43090,108761075241385,112181820620717,361430537777638,364851283156970
video,V1,63,260908.mp4,13249,13357,43104,43212,112181820620717,113096277306281,364969823838432,365884280523996
video,V1,64,260908.mp4,13357,13628,43266,43537,113096277306281,115390886211724,366341508866778,368636117772221
video,V1,65,260908.mp4,13628,13890,43568,43830,115390886211724,117609290393370,368898600709744,371117004891390
video,V1,66,260908.mp4,13890,13960,18510,18580,117609290393370,118201993800680,156727715275830,157320418683140
video,V1,67,260908.mp4,13960,14002,18594,18636,118201993800680,118557615845066,157438959364602,157794581408988
video,V1,68,260908.mp4,14002,14078,18666,18742,118557615845066,119201122401574,158048597154978,158692103711486
video,V1,69,260908.mp4,14078,14140,18791,18853,119201122401574,119726088276620,159106996096603,159631961971649
video,V1,70,260908.mp4,14140,14347,18880,19087,119726088276620,121478796923951,159860576143040,161613284790371
video,V1,71,260908.mp4,14347,14439,19108,19200,121478796923951,122257778544987,161791095812564,162570077433600
video,V1,72,260908.mp4,14439,14520,19226,19307,122257778544987,122943621059160,162790224413458,163476066927631
video,V1,73,260908.mp4,14520,14834,19363,19677,122943621059160,125602319200522,163950229653479,166608927794841
video,V1,74,260908.mp4,14834,14987,19705,19858,125602319200522,126897799505071,166846009157765,168141489462314
video,V1,75,260908.mp4,14987,15193,19876,20082,126897799505071,128642040960869,168293898909908,170038140365706
video,V1,76,260908.mp4,15193,16326,20120,21253,128642040960869,138235368967758,170359893643960,179953221650849
video,V1,77,260908.mp4,16326,16860,21265,21799,138235368967758,142756849246380,180054827949245,184576308227867
video,V1,78,260908.mp4,16860,16969,21828,21937,142756849246380,143679773123477,184821856782324,185744780659421
video,V1,79,260908.mp4,16969,17029,21952,22012,143679773123477,144187804615457,185871788532416,186379820024396
video,V1,80,260908.mp4,17029,17294,22025,22290,144187804615457,146431610371702,186489893514325,188733699270570
video,V1,81,260908.mp4,17294,17387,67680,67773,146431610371702,147219059184271,573059522953440,573846971766009
video,V1,82,260908.mp4,17387,17548,67809,67970,147219059184271,148582277021084,574151790661197,575515008498010
video,V1,83,260908.mp4,17548,17771,67999,68222,148582277021084,150470460732943,575760557052467,577648740764326
video,V1,84,260908.mp4,17771,18017,68270,68516,150470460732943,152553389850061,578055165957910,580138095075028
video,V1,85,260908.mp4,18017,18449,68542,68974,152553389850061,156211216592317,580358242054886,584016068797142
video,V1,86,260908.mp4,18449,18792,69012,69355,156211216592317,159115463288136,584337822075396,587242068771215
video,V1,87,260908.mp4,18792,18985,69394,69587,159115463288136,160749631254005,587572289241002,589206457206871
video,V1,88,260908.mp4,18985,19229,69617,69861,160749631254005,162815625988057,589460472952861,591526467686913
video,V1,89,260908.mp4,19229,19898,69904,70573,162815625988057,168480177123634,591890556922832,597555108058409
video,V1,90,260908.mp4,19898,19976,70586,70664,168480177123634,169140618063208,597665181548338,598325622487912
video,V1,91,260908.mp4,19976,20315,70678,71017,169140618063208,172010995992895,598444163169374,601314541099061
video,V1,92,260908.mp4,20315,20396,71062,71143,172010995992895,172696838507068,601695564718046,602381407232219
video,V1,93,260908.mp4,20396,20457,71156,71217,172696838507068,173213337190581,602491480722148,603007979405661
video,V1,94,260908.mp4,20457,20487,71240,71270,173213337190581,173467352936571,603202724810920,603456740556910
video,V1,95,260908.mp4,20487,20793,71337,71643,173467352936571,176058313545669,604024042389621,606615002998719
video,V1,96,260908.mp4,20793,20928,71684,71819,176058313545669,177201384402624,606962157851572,608105228708527
video,V1,97,260908.mp4,20928,21103,71831,72006,177201384402624,178683142920899,608206835006923,609688593525198
video,V1,98,260908.mp4,21103,21146,72040,72083,178683142920899,179047232156818,609976478037320,610340567273239
video,V1,99,260908.mp4,21146,21290,72104,72248,179047232156818,180266507737570,610518378295432,611737653876184
video,V1,100,260908.mp4,21290,21351,72279,72340,180266507737570,180783006421083,612000136813707,612516635497220
video,V1,101,260908.mp4,21351,21502,72804,72955,180783006421083,182061552342566,616445412368532,617723958290015
video,V1,102,260908.mp4,21502,21752,72977,73227,182061552342566,184178350225816,617910236503741,620027034386991
video,V1,103,260908.mp4,21752,22002,73241,73491,184178350225816,186295148109066,620145575068453,622262372951703
video,V1,104,260908.mp4,22002,22080,73515,73593,186295148109066,186955589048640,622465585548495,623126026488069
video,V1,105,260908.mp4,22080,22193,73607,73720,186955589048640,187912381691869,623244567169531,624201359812760
video,V1,106,260908.mp4,22193,22308,73739,73854,187912381691869,188886108718164,624362236451887,625335963478182
video,V1,107,260908.mp4,22308,22383,73877,73952,188886108718164,189521148083139,625530708883441,626165748248416
video,V1,108,260908.mp4,22383,22569,73973,74159,189521148083139,191096045708277,626343559270609,627918456895747
video,V1,109,260908.mp4,22569,22611,74182,74224,191096045708277,191451667752663,628113202301006,628468824345392
video,V1,110,260908.mp4,22611,22914,74292,74595,191451667752663,194017226787162,629044593369636,631610152404135
video,V1,111,260908.mp4,22914,23255,74642,74983,194017226787162,196904539099915,632008110406186,634895422718939
video,V1,112,260908.mp4,23255,23299,75011,75055,196904539099915,197277095527367,635132504081863,635505060509315
video,V1,113,260908.mp4,23299,23431,75074,75206,197277095527367,198394764809723,635665937148442,636783606430798
video,V1,114,260908.mp4,23431,23849,75227,75645,198394764809723,201934050870517,636961417452991,640500703513785
video,V1,115,260908.mp4,23849,23918,75674,75743,201934050870517,202518287086294,640746252068242,641330488284019
video,V1,116,260908.mp4,23918,23950,75775,75807,202518287086294,202789237215350,641601438413075,641872388542131
video,V1,117,260908.mp4,23950,24380,75858,76288,202789237215350,206430129574540,642304215310314,645945107669504
video,V1,118,260908.mp4,24380,24542,76318,76480,206430129574540,207801814602886,646199123415494,647570808443840
video,V1,119,260908.mp4,24542,24606,76532,76596,207801814602886,208343714860998,648011102403556,648553002661668
video,V1,120,260908.mp4,24606,24754,76646,76794,208343714860998,209596859207882,648976362238318,650229506585202
video,V1,121,260908.mp4,24754,24903,76814,76963,209596859207882,210858470746299,650398850415862,651660461954279
video,V1,122,260908.mp4,24903,25595,76995,77687,210858470746299,216717767287135,651931412083335,657790708624171
video,V1,123,260908.mp4,25595,26040,77701,78146,216717767287135,220485667519320,657909249305633,661677149537818
video,V1,124,260908.mp4,26040,26085,78160,78205,220485667519320,220866691138305,661795690219280,662176713838265
video,V1,125,260908.mp4,26085,26236,78234,78385,220866691138305,222145237059788,662422262392722,663700808314205
video,V1,126,260908.mp4,26236,26326,78402,78492,222145237059788,222907284297758,663844750570266,664606797808236
video,V1,127,260908.mp4,26326,26478,78513,78665,222907284297758,224194297410774,664784608830429,666071621943445
video,V1,128,260908.mp4,26478,26512,78666,78700,224194297410774,224482181922896,666080089134978,666367973647100
video,V1,129,260908.mp4,26512,26669,78744,78901,224482181922896,225811530993577,666740530074552,668069879145233
video,V1,130,260908.mp4,26669,26704,78927,78962,225811530993577,226107882697232,668290026125091,668586377828746
video,V1,131,260908.mp4,26704,26736,78980,79012,226107882697232,226378832826288,668738787276340,669009737405396
video,V1,132,260908.mp4,26736,26771,79045,79080,226378832826288,226675184529943,669289154725985,669585506429640
video,V1,133,260908.mp4,26771,26851,81691,81771,226675184529943,227352559852583,691693343522303,692370718844943
video,V1,134,260908.mp4,26851,27000,81921,82070,227352559852583,228614171391000,693640797574893,694902409113310
video,V2,1,Adjustment Layer,0,3660,108000,111660,0,30989921010780,914456685564000,945446606574780
video,V2,2,Adjustment Layer,3660,7165,111660,115165,30989921010780,60667427333945,945446606574780,975124112897945
video,V2,3,Adjustment Layer,7165,13890,115165,121890,60667427333945,117609290393370,975124112897945,1032065975957370
video,V2,4,Adjustment Layer,13890,17294,121890,125294,117609290393370,146431610371702,1032065975957370,1060888295935702
video,V2,5,Adjustment Layer,17294,27000,125294,135000,146431610371702,228614171391000,1060888295935702,1143070856955000
video,V3,1,Graphic,445,449,294594,294596,3767900232185,3801768998317,2494383822472602,2494400756855668
video,V3,2,Graphic,449,460,294594,294603,3801768998317,3894908105180,2494383822472602,2494460027196399
video,V3,3,Graphic,3656,3660,294594,294596,30956052244648,30989921010780,2494383822472602,2494400756855668
video,V3,4,Graphic,3660,3671,294594,294603,30989921010780,31083060117643,2494383822472602,2494460027196399
video,V3,5,Graphic,7161,7165,294594,294596,60633558567813,60667427333945,2494383822472602,2494400756855668
video,V3,6,Graphic,7165,7176,294594,294603,60667427333945,60760566440808,2494383822472602,2494460027196399
video,V3,7,Graphic,13886,13890,294594,294596,117575421627238,117609290393370,2494383822472602,2494400756855668
video,V3,8,Graphic,13890,13901,294594,294603,117609290393370,117702429500233,2494383822472602,2494460027196399
video,V3,9,Graphic,17290,17294,294594,294596,146397741605570,146431610371702,2494383822472602,2494400756855668
video,V3,10,Graphic,17294,17305,294594,294603,146431610371702,146524749478565,2494383822472602,2494460027196399
video,V3,11,Graphic,21347,21351,294594,294596,180749137654951,180783006421083,2494383822472602,2494400756855668
video,V3,12,Graphic,21351,21362,294594,294603,180783006421083,180876145527946,2494383822472602,2494460027196399
video,V4,1,Graphic,445,449,294594,294596,3767900232185,3801768998317,2494383822472602,2494400756855668
video,V4,2,Graphic,449,460,294594,294603,3801768998317,3894908105180,2494383822472602,2494460027196399
video,V4,3,Graphic,3656,3660,294594,294596,30956052244648,30989921010780,2494383822472602,2494400756855668
video,V4,4,Graphic,3660,3671,294594,294603,30989921010780,31083060117643,2494383822472602,2494460027196399
video,V4,5,Graphic,7161,7165,294594,294596,60633558567813,60667427333945,2494383822472602,2494400756855668
video,V4,6,Graphic,7165,7176,294594,294603,60667427333945,60760566440808,2494383822472602,2494460027196399
video,V4,7,Graphic,13886,13890,294594,294596,117575421627238,117609290393370,2494383822472602,2494400756855668
video,V4,8,Graphic,13890,13901,294594,294603,117609290393370,117702429500233,2494383822472602,2494460027196399
video,V4,9,Graphic,17290,17294,294594,294596,146397741605570,146431610371702,2494383822472602,2494400756855668
video,V4,10,Graphic,17294,17305,294594,294603,146431610371702,146524749478565,2494383822472602,2494460027196399
video,V4,11,Graphic,21347,21351,294594,294596,180749137654951,180783006421083,2494383822472602,2494400756855668
video,V4,12,Graphic,21351,21362,294594,294603,180783006421083,180876145527946,2494383822472602,2494460027196399
video,A1,1,260908.mp4,0,80,72340,72420,0,677375322640,612516635497220,613194010819860
video,A1,2,260908.mp4,80,449,72435,72804,677375322640,3801768998317,613321018692855,616445412368532
video,A1,3,260908.mp4,449,952,61374,61877,3801768998317,8060766339416,519665413146342,523924410487441
video,A1,4,260908.mp4,952,1044,61889,61981,8060766339416,8839747960452,524026016785837,524804998406873
video,A1,5,260908.mp4,1044,1080,61993,62029,8839747960452,9144566855640,524906604705269,525211423600457
video,A1,6,260908.mp4,1080,1101,62094,62115,9144566855640,9322377877833,525761791050102,525939602072295
video,A1,7,260908.mp4,1101,1133,62127,62159,9322377877833,9593328006889,526041208370691,526312158499747
video,A1,8,260908.mp4,1133,1335,62176,62378,9593328006889,11303700696555,526456100755808,528166473445474
